Observed cones colored
YELLOW | x:-8.267683518918863 y:12.587373012875164
YELLOW | x:-5.249216349581061 y:12.280206118598226
YELLOW | x:-1.9675477856323242 y:10.986154391939086
YELLOW | x:0.6246252818314447 y:9.268702310894572
YELLOW | x:2.341831979162979 y:5.289725973779602
YELLOW | x:1.8652082949951172 y:6.89090688484375

BLUE | x:-5.866623494021606 y:4.677836730653686
BLUE | x:-10.425470969073487 y:8.022842195207518
BLUE | x:-7.220538362853241 y:5.652922791813457
BLUE | x:-14.738586279742432 y:11.190666749650878
BLUE | x:-8.517923685900879 y:6.6268094099735215
BLUE | x:-12.345551821582031 y:9.431025817567749
YELLOW | x:1.6912865077609067 y:3.82094445238357
YELLOW | x:-10.551788978767904 y:14.225299551660461
YELLOW | x:-11.682247874133301 y:15.137566163713378
YELLOW | x:-7.675695193799846 y:12.022916708960775
YELLOW | x:-6.805586244986301 y:11.356434260382894
YELLOW | x:-9.468131237221273 y:13.39162627316976
YELLOW | x:-5.6249639640177405 y:10.510876379981282
YELLOW | x:-4.150044475322809 y:9.41112199350328
YELLOW | x:-2.9103669741249627 y:8.459005012685699
YELLOW | x:-0.4659059415186564 y:6.646342510555827
YELLOW | x:-8.567523969205729 y:12.66919302401408

BLUE | x:-1.9587705888844082 y:2.2730821452002443
BLUE | x:-2.0031498253271103 y:3.880643311997609
BLUE | x:-2.1448861688301086 y:6.213015630418701
BLUE | x:-2.4152680537455966 y:11.4426470203091
BLUE | x:-2.2608578263219745 y:8.499742966893528
BLUE | x:-2.5435349593485514 y:14.38848947939738
BLUE | x:-2.7324790686294556 y:17.13312623756592
BLUE | x:-2.8397475212738037 y:18.96547134178345
YELLOW | x:2.7754161467229213 y:3.967469117285122
YELLOW | x:2.4742610150650024 y:13.063924405748292
YELLOW | x:2.4407556802108763 y:14.329784372026367
YELLOW | x:2.293260601170349 y:15.904401535366619
YELLOW | x:2.2406237393692017 y:17.382648065263673
YELLOW | x:2.2084027797058106 y:19.351804330522462
YELLOW | x:2.586616085973867 y:8.760638064716899
YELLOW | x:2.5434377819374085 y:10.152181159034017
YELLOW | x:2.548372474320221 y:11.56635875957672
YELLOW | x:2.678638246662903 y:6.522014215166015
YELLOW | x:2.7227853109513602 y:5.4313532258815

BLUE | x:-2.3307494962424866 y:3.3273799734488128
BLUE | x:-2.418017360560608 y:6.261284743323568
BLUE | x:-2.6147622010463167 y:10.767883333992744
BLUE | x:-2.5337713750349824 y:8.920131164477025
BLUE | x:-2.849640938632202 y:17.03908164756958
BLUE | x:-2.7972206205055237 y:15.097361972505492
BLUE | x:-2.660171197181787 y:12.837426233200208
YELLOW | x:2.589584712336804 y:3.1977616409492637
YELLOW | x:2.4530874282196047 y:7.620076635057372
YELLOW | x:2.390065945195643 y:11.005843951875612
YELLOW | x:2.261511750030009 y:14.982018425638122
YELLOW | x:2.418530633016437 y:9.091525456664215
YELLOW | x:2.541873068618266 y:5.978430551861367
YELLOW | x:2.579370724168905 y:4.71177790023351
YELLOW | x:2.3277571898773197 y:12.906823518449707
YELLOW | x:2.1993433505371094 y:17.356629922563478

BLUE | x:-2.2445440643951415 y:2.2725921084231566
BLUE | x:-2.105232238430956 y:4.4772724654025255
BLUE | x:-1.973474952571106 y:6.379830162017472
BLUE | x:-1.7671251668957157 y:9.357882211987343
BLUE | x:-1.6427617127622287 y:11.673101280703788
BLUE | x:-1.2463314741775513 y:17.38553693550293
BLUE | x:-1.4319131205404918 y:14.671766514156902
YELLOW | x:2.919280890962304 y:3.664811269350823
YELLOW | x:3.64799247086792 y:18.76764829414551
YELLOW | x:3.2250036269500733 y:10.176002894416095
YELLOW | x:3.4404454857185365 y:12.31132695930664
YELLOW | x:3.1820833977800156 y:8.542693683744776
YELLOW | x:3.501046475775528 y:14.466969683343812
YELLOW | x:3.578601238138962 y:16.755211069757387
YELLOW | x:3.091093716032791 y:6.0691229249781795

BLUE | x:-1.6768372791079658 y:3.8795978287887705
